status,city,date,station,side,temp,unit,kind,station_prob,strict_limit,paper_size_usdc,best_ask_now,best_bid_now,top_ask_notional,paper_ev_proxy_usdc,question,url
paper_fill_partial,Seoul,April 26,RKSI,NO,20,C,higher,0.858,0.2806,20,0.28,0.24,2.24,4.624,Will the highest temperature in Seoul be 20°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
skip_not_fillable_at_limit,London,April 26,EGLC,NO,18,C,exact,0.721,0.5159,10,0.53,0.49,15.88,0,Will the highest temperature in London be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
paper_fill_full,Munich,April 26,EDDM,NO,18,C,exact,0.8951,0.71,10,0.71,0.7,22.72,2.607,Will the highest temperature in Munich be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
paper_fill_full,Beijing,April 26,ZBAA,NO,25,C,exact,0.7815,0.62,10,0.62,0.6,20.54,2.605,Will the highest temperature in Beijing be 25°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
paper_fill_full,Seoul,April 27,RKSI,NO,19,C,exact,0.9691,0.82,5,0.82,0.8,101.68,0.909,Will the highest temperature in Seoul be 19°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
paper_fill_partial,Shanghai,April 26,ZSPD,NO,23,C,exact,0.7815,0.6405,5,0.64,0.61,4.76,1.051,Will the highest temperature in Shanghai be 23°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
paper_fill_full,Munich,April 26,EDDM,NO,19,C,exact,0.7815,0.65,5,0.65,0.63,17.42,1.012,Will the highest temperature in Munich be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
paper_fill_full,Beijing,April 26,ZBAA,NO,24,C,exact,0.8951,0.82,2,0.82,0.8,39.36,0.183,Will the highest temperature in Beijing be 24°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
