rank,handle,pnl_usd,roi_pct,weather_item_count,active_weather_positions,recent_weather_activity,inferred_pattern,top_cities,market_type_counts,profile_url
20,russell110320,46787.66,3.415,181,6,175,event-surface/exact-bin grid,"[{""city"": ""unknown"", ""count"": 181}]","{""exact_range"": 145, ""temperature_other"": 36}",https://polymarket.com/profile/0x118689b24aead1d6e9507b8068d056b2ec4f051b
21,HenryTheAtmoPhD,45558.18,1.429,250,29,221,event-surface/exact-bin grid,"[{""city"": ""Hong Kong"", ""count"": 135}, {""city"": ""Seoul"", ""count"": 58}, {""city"": ""Shenzhen"", ""count"": 11}, {""city"": ""New York City"", ""count"": 9}, {""city"": ""Taipei"", ""count"": 9}, {""city"": ""Paris"", ""count"": 7}, {""city"": ""Tokyo"", ""count"": 4}, {""city"": ""Lagos"", ""count"": 3}]","{""exact_value"": 218, ""threshold"": 29, ""weather_other"": 1, ""temperature_other"": 2}",https://polymarket.com/profile/0x57ee70867b4e387de9de34fd62bc685aa02a8112
22,JoeTheMeteorologist,44961.86,2.139,240,30,210,event-surface/exact-bin grid,"[{""city"": ""Seoul"", ""count"": 94}, {""city"": ""Taipei"", ""count"": 60}, {""city"": ""Hong Kong"", ""count"": 55}, {""city"": ""London"", ""count"": 11}, {""city"": ""Tokyo"", ""count"": 10}, {""city"": ""Shenzhen"", ""count"": 7}, {""city"": ""Lagos"", ""count"": 2}, {""city"": ""unknown"", ""count"": 1}]","{""exact_value"": 216, ""threshold"": 23, ""temperature_other"": 1}",https://polymarket.com/profile/0x1838cca016850ac7185a9b149fe7d0bd2d6629b4
23,aboss,38787.58,3.611,218,11,207,event-surface/exact-bin grid,"[{""city"": ""London"", ""count"": 110}, {""city"": ""New York City"", ""count"": 103}, {""city"": ""unknown"", ""count"": 5}]","{""exact_range"": 116, ""threshold"": 101, ""temperature_other"": 1}",https://polymarket.com/profile/0xaaec89fcb2ff14b335ddd738edf355ac07038dc8
24,9985,37107.72,9.614,7,1,6,event-surface/exact-bin grid,"[{""city"": ""unknown"", ""count"": 4}, {""city"": ""London"", ""count"": 3}]","{""weather_other"": 4, ""exact_range"": 3}",https://polymarket.com/profile/0x63a49a02c71d3a63f391878ec310dc81a524b5dc
25,ANudeEgg,36270.19,12.996,29,0,29,event-surface/exact-bin grid,"[{""city"": ""unknown"", ""count"": 29}]","{""weather_other"": 29}",https://polymarket.com/profile/0x62d2bcd198bb6eab8b7eeb9d2061815dc02b9eb7
26,Shoemaker34,33959.87,6.644,102,15,87,event-surface/exact-bin grid,"[{""city"": ""London"", ""count"": 37}, {""city"": ""Seoul"", ""count"": 8}, {""city"": ""New York City"", ""count"": 8}, {""city"": ""Wuhan"", ""count"": 7}, {""city"": ""Dallas"", ""count"": 6}, {""city"": ""Wellington"", ""count"": 5}, {""city"": ""Taipei"", ""count"": 5}, {""city"": ""Ankara"", ""count"": 4}]","{""exact_value"": 80, ""threshold"": 8, ""exact_range"": 14}",https://polymarket.com/profile/0x8093017f08d8492927eb3b43c8b87aeffe38b208
42,Railbird,23469.62,2.943,399,150,249,event-surface/exact-bin grid,"[{""city"": ""London"", ""count"": 74}, {""city"": ""Atlanta"", ""count"": 41}, {""city"": ""Ankara"", ""count"": 29}, {""city"": ""New York City"", ""count"": 25}, {""city"": ""Tokyo"", ""count"": 20}, {""city"": ""Seoul"", ""count"": 18}, {""city"": ""Beijing"", ""count"": 18}, {""city"": ""Chicago"", ""count"": 17}]","{""exact_value"": 223, ""exact_range"": 138, ""threshold"": 38}",https://polymarket.com/profile/0x906f2454a777600aea6c506247566decef82371a
56,syacxxa,19511.69,4.1,399,150,249,event-surface/exact-bin grid,"[{""city"": ""London"", ""count"": 209}, {""city"": ""Paris"", ""count"": 73}, {""city"": ""Toronto"", ""count"": 57}, {""city"": ""Buenos Aires"", ""count"": 38}, {""city"": ""New York City"", ""count"": 8}, {""city"": ""Amsterdam"", ""count"": 7}, {""city"": ""Munich"", ""count"": 3}, {""city"": ""Los Angeles"", ""count"": 1}]","{""threshold"": 105, ""exact_value"": 287, ""exact_range"": 7}",https://polymarket.com/profile/0x2b2866a724e73bf45af306036f12f20170b4d021
73,0xhana,15798.98,4.912,397,150,247,event-surface/exact-bin grid,"[{""city"": ""New York City"", ""count"": 117}, {""city"": ""Seattle"", ""count"": 107}, {""city"": ""Miami"", ""count"": 104}, {""city"": ""Atlanta"", ""count"": 69}]","{""exact_range"": 397}",https://polymarket.com/profile/0xa37d1d1a3367c6ebc692e37c29bccb8bb015b2b4
78,mjf02,14775.84,2.116,397,149,248,event-surface/exact-bin grid,"[{""city"": ""Paris"", ""count"": 134}, {""city"": ""Seoul"", ""count"": 70}, {""city"": ""Hong Kong"", ""count"": 58}, {""city"": ""London"", ""count"": 55}, {""city"": ""Madrid"", ""count"": 41}, {""city"": ""New York City"", ""count"": 21}, {""city"": ""Munich"", ""count"": 10}, {""city"": ""Tel Aviv"", ""count"": 3}]","{""threshold"": 23, ""exact_value"": 355, ""exact_range"": 19}",https://polymarket.com/profile/0x5ea284bb13db26c76529a944e6bf9497c8c5e97f
100,0x4CE3f17Be91C3d0D6dbFed7Bd4D326957dec4291-1768045938794,11588.78,2.212,394,144,250,event-surface/exact-bin grid,"[{""city"": ""Taipei"", ""count"": 140}, {""city"": ""Seoul"", ""count"": 38}, {""city"": ""Beijing"", ""count"": 26}, {""city"": ""Cape Town"", ""count"": 20}, {""city"": ""Shenzhen"", ""count"": 19}, {""city"": ""Tokyo"", ""count"": 19}, {""city"": ""Chongqing"", ""count"": 19}, {""city"": ""Wellington"", ""count"": 16}]","{""exact_value"": 343, ""threshold"": 51}",https://polymarket.com/profile/0x4ce3f17be91c3d0d6dbfed7bd4d326957dec4291
