score,city,date,measurement_kind,unit,unique_accounts,signal_count,trade_rows,active_position_rows,active_value_usdc,trade_usdc,top_temperatures,market_type_counts,side_counts,top_handles
72.1,New York City,January 31,highest,F,3,6,2,4,310.02,0.0,"[{""label"": ""24-25F"", ""count"": 4}, {""label"": ""20-21F"", ""count"": 1}, {""label"": ""22-23F"", ""count"": 1}]","{""exact_range"": 6}","{""SELL"": 2, ""YES"": 2, ""NO"": 2}","[{""handle"": ""Lmaccoinz"", ""count"": 3}, {""handle"": ""0x22AB768409A2C6ef788F5c32CFb6d1aB4eCbd485-1760969593818"", ""count"": 2}, {""handle"": ""Lovemaker-998"", ""count"": 1}]"
72.07,Toronto,February 27,highest,C,3,8,7,1,6.66,0.0,"[{""label"": ""7C"", ""count"": 3}, {""label"": ""5C"", ""count"": 3}, {""label"": ""4C"", ""count"": 1}, {""label"": ""6C"", ""count"": 1}]","{""exact_value"": 8}","{""BUY"": 7, ""YES"": 1}","[{""handle"": ""0x22AB768409A2C6ef788F5c32CFb6d1aB4eCbd485-1760969593818"", ""count"": 6}, {""handle"": ""neophyt"", ""count"": 1}, {""handle"": ""punch-the-macaque"", ""count"": 1}]"
72.06,Taipei,April 9,highest,C,3,8,4,4,6.0,0.0,"[{""label"": ""35C"", ""count"": 3}, {""label"": ""33C"", ""count"": 3}, {""label"": ""28C"", ""count"": 1}, {""label"": ""27C"", ""count"": 1}]","{""exact_value"": 8}","{""YES"": 4, ""SELL"": 4}","[{""handle"": ""Wistesty"", ""count"": 6}, {""handle"": ""0x4CE3f17Be91C3d0D6dbFed7Bd4D326957dec4291-1768045938794"", ""count"": 1}, {""handle"": ""GbushiCshuo"", ""count"": 1}]"
72.03,Toronto,February 17,highest,C,3,8,7,1,3.0,0.0,"[{""label"": ""7C or higher"", ""count"": 5}, {""label"": ""3C"", ""count"": 2}, {""label"": ""6C"", ""count"": 1}]","{""threshold_high"": 5, ""exact_value"": 3}","{""BUY"": 5, ""SELL"": 2, ""NO"": 1}","[{""handle"": ""punch-the-macaque"", ""count"": 5}, {""handle"": ""0xf64145c4c47B7Ce75CDe11C15A82136a14fB2B4A-1770645462820"", ""count"": 2}, {""handle"": ""Lovemaker-998"", ""count"": 1}]"
72.0,Taipei,April 21,highest,C,3,8,8,0,0.0,0.0,"[{""label"": ""29C"", ""count"": 5}, {""label"": ""31C or higher"", ""count"": 2}, {""label"": ""28C"", ""count"": 1}]","{""exact_value"": 6, ""threshold_high"": 2}","{""BUY"": 4, ""SELL"": 4}","[{""handle"": ""Lex-tang"", ""count"": 5}, {""handle"": ""0x5264b001677b47dd2E20fe20213749DbD7909a63-1770895753458"", ""count"": 2}, {""handle"": ""0x4CE3f17Be91C3d0D6dbFed7Bd4D326957dec4291-1768045938794"", ""count"": 1}]"
71.72,Miami,February 24,highest,F,3,7,5,2,122.3,0.0,"[{""label"": ""66-67F"", ""count"": 5}, {""label"": ""64-65F"", ""count"": 1}, {""label"": ""70-71F"", ""count"": 1}]","{""exact_range"": 7}","{""BUY"": 5, ""YES"": 2}","[{""handle"": ""0x22AB768409A2C6ef788F5c32CFb6d1aB4eCbd485-1760969593818"", ""count"": 5}, {""handle"": ""0xhana"", ""count"": 1}, {""handle"": ""0xf64145c4c47B7Ce75CDe11C15A82136a14fB2B4A-1770645462820"", ""count"": 1}]"
71.71,San Francisco,April 17,highest,F,3,7,2,5,120.75,0.0,"[{""label"": ""70-71F"", ""count"": 4}, {""label"": ""66-67F"", ""count"": 1}, {""label"": ""68-69F"", ""count"": 1}, {""label"": ""57F or below"", ""count"": 1}]","{""exact_range"": 6, ""threshold_low"": 1}","{""YES"": 4, ""BUY"": 2, ""NO"": 1}","[{""handle"": ""Amano-Hina"", ""count"": 3}, {""handle"": ""0x5264b001677b47dd2E20fe20213749DbD7909a63-1770895753458"", ""count"": 3}, {""handle"": ""Wistesty"", ""count"": 1}]"
71.51,New York City,March 2,highest,F,3,6,3,3,251.19,0.0,"[{""label"": ""30-31F"", ""count"": 3}, {""label"": ""34-35F"", ""count"": 2}, {""label"": ""32-33F"", ""count"": 1}]","{""exact_range"": 6}","{""YES"": 2, ""BUY"": 2, ""NO"": 1, ""SELL"": 1}","[{""handle"": ""0x77266604E63f5cAF08D19CaEBae0C563ce64aEE"", ""count"": 3}, {""handle"": ""0xhana"", ""count"": 2}, {""handle"": ""Lucky-Boy"", ""count"": 1}]"
71.44,Houston,April 16,highest,F,3,6,3,3,244.42,0.0,"[{""label"": ""86-87F"", ""count"": 5}, {""label"": ""84-85F"", ""count"": 1}]","{""exact_range"": 6}","{""YES"": 2, ""SELL"": 2, ""NO"": 1, ""BUY"": 1}","[{""handle"": ""Lucky-Boy"", ""count"": 3}, {""handle"": ""Amano-Hina"", ""count"": 2}, {""handle"": ""Walter-Weather"", ""count"": 1}]"
71.38,Beijing,April 14,highest,C,3,6,4,2,238.4,0.0,"[{""label"": ""18C or below"", ""count"": 5}, {""label"": ""19C"", ""count"": 1}]","{""threshold_low"": 5, ""exact_value"": 1}","{""SELL"": 3, ""NO"": 2, ""BUY"": 1}","[{""handle"": ""tianqizhishen"", ""count"": 3}, {""handle"": ""Kaiji-"", ""count"": 2}, {""handle"": ""Railbird"", ""count"": 1}]"
