city,date,question,side,temp,action,settlement_status,winning_outcome,resolution_scheduled_at,resolution_checked_at,auto_check_at,auto_check_after_seconds,paper_settlement_value_usdc,paper_realized_pnl_usdc,p_side_now,hard_stop_if_p_below,trim_review_if_p_below,best_bid_now,best_ask_now,filled_usdc,paper_ev_now_usdc,paper_mtm_bid_usdc,current_forecast_max_c,forecast_query_used,official_resolution_source,resolution_source_newly_available,reason
Beijing,April 26,Will the highest temperature in Beijing be 25°C on April 26?,NO,25,SETTLED_WON,SETTLED_WON,No,2026-04-26T12:00:00Z,2026-04-26T19:02:46Z,2026-04-26T12:01:00Z,60,24.1935,9.1935,0.7815,0.59,0.64,,,15.0,3.90722,9.120919,23.0,Beijing,https://www.wunderground.com/history/daily/cn/beijing/ZBAA,False,official Polymarket final outcome: No
Munich,April 26,Will the highest temperature in Munich be 18°C on April 26?,NO,18,SETTLED_WON,SETTLED_WON,No,2026-04-26T12:00:00Z,2026-04-27T00:42:42Z,2026-04-26T12:01:00Z,60,14.0845,4.0845,0.8951,0.68,0.73,,,10.0,2.607036,4.070416,18.0,Munich,https://www.wunderground.com/history/daily/de/munich/EDDM,False,official Polymarket final outcome: No
Shanghai,April 26,Will the highest temperature in Shanghai be 23°C on April 26?,NO,23,SETTLED_LOST,SETTLED_LOST,Yes,2026-04-26T12:00:00Z,2026-04-26T19:01:26Z,2026-04-26T12:01:00Z,60,0.0,-4.7552,0.721,0.61,0.66,,,4.7552,0.60183,-4.74777,25.0,Pootung,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD,False,official Polymarket final outcome: Yes
Munich,April 26,Will the highest temperature in Munich be 19°C on April 26?,NO,19,SETTLED_LOST,SETTLED_LOST,Yes,2026-04-26T12:00:00Z,2026-04-27T00:42:42Z,2026-04-26T12:01:00Z,60,0.0,-5.0,0.9691,0.62,0.67,,,5.0,2.454608,-2.846156,18.0,Munich,https://www.wunderground.com/history/daily/de/munich/EDDM,False,official Polymarket final outcome: Yes
Karachi,April 27,Will the highest temperature in Karachi be 36°C or higher on April 27?,NO,36,HOLD_CAPPED,UNSETTLED,,2026-04-27T12:00:00Z,2026-04-27T09:01:19.441082Z,2026-04-27T12:01:00Z,60,,,0.9938,0.5,0.55,0.66,0.71,10.0,8.750944,2.452831,32.0,Ramswamy Quarters,https://www.wunderground.com/history/daily/pk/karachi/OPKC,False,fresh book/forecast; capped/no add; no exit trigger
